      시각              현재폭        평균폭      비율    상태    비고
 08-06 18:00     0.013654   0.018438   0.74x  normal  
 08-06 18:15     0.012567   0.018491   0.68x  normal  
 08-06 18:30     0.012188   0.018542   0.66x  normal  
 08-06 18:45     0.012782   0.018603   0.69x  normal  
 08-06 19:00     0.012638   0.018653   0.68x  normal  
 08-06 19:15     0.013402   0.018710   0.72x  normal  
 08-06 19:30     0.013469   0.018764   0.72x  normal  
 08-06 19:45     0.013503   0.018815   0.72x  normal  
 08-06 20:00     0.013478   0.018858   0.71x  normal  
 08-06 20:15     0.012864   0.018877   0.68x  normal  
 08-06 20:30     0.012186   0.018875   0.65x  normal  
 08-06 20:45     0.011800   0.018852   0.63x  normal  
 08-06 21:00     0.011741   0.018818   0.62x  normal  
 08-06 21:15     0.011627   0.018776   0.62x  normal  
 08-06 21:30     0.011595   0.018733   0.62x  normal  
 08-06 21:45     0.011581   0.018692   0.62x  normal  
 08-06 22:00     0.011729   0.018654   0.63x  normal  
 08-06 22:15     0.011979   0.018614   0.64x  normal  
 08-06 22:30     0.012223   0.018575   0.66x  normal  
 08-06 22:45     0.012371   0.018535   0.67x  normal  
 08-06 23:00     0.012313   0.018491   0.67x  normal  
 08-06 23:15     0.012379   0.018449   0.67x  normal  
 08-06 23:30     0.012399   0.018415   0.67x  normal  
 08-06 23:45     0.012103   0.018397   0.66x  normal  
 08-07 00:00     0.011880   0.018383   0.65x  normal  
 08-07 00:15     0.012016   0.018374   0.65x  normal  
 08-07 00:30     0.012095   0.018372   0.66x  normal  
 08-07 00:45     0.012095   0.018377   0.66x  normal  
 08-07 01:00     0.011852   0.018376   0.64x  normal  
 08-07 01:15     0.010690   0.018358   0.58x  normal  
 08-07 01:30     0.008779   0.018306   0.48x squeeze  SQUEEZE진입
 08-07 01:45     0.008636   0.018247   0.47x squeeze  
 08-07 02:00     0.008655   0.018192   0.48x squeeze  
 08-07 02:15     0.008294   0.018124   0.46x squeeze  
 08-07 02:30     0.008334   0.018048   0.46x squeeze  
 08-07 02:45     0.008537   0.017968   0.48x squeeze  
 08-07 03:00     0.009374   0.017895   0.52x squeeze  
 08-07 03:15     0.010135   0.017825   0.57x squeeze  
 08-07 03:30     0.010754   0.017760   0.61x squeeze  
 08-07 03:45     0.012859   0.017723   0.73x squeeze  
 08-07 04:00     0.014586   0.017704   0.82x  normal  BREAKOUT!SHORT(sqavg=0.009436)
 08-07 04:15     0.016218   0.017695   0.92x  normal  
 08-07 04:30     0.017685   0.017687   1.00x  normal  
 08-07 04:45     0.018643   0.017660   1.06x  normal  
 08-07 05:00     0.019453   0.017585   1.11x  normal  
 08-07 05:15     0.019928   0.017489   1.14x  normal  
 08-07 05:30     0.020760   0.017381   1.19x  normal  
 08-07 05:45     0.021574   0.017269   1.25x  normal  
 08-07 06:00     0.022500   0.017156   1.31x  normal  
 08-07 06:15     0.022903   0.017027   1.35x  normal  
 08-07 06:30     0.023112   0.016887   1.37x  normal  
 08-07 06:45     0.023270   0.016751   1.39x  normal  
 08-07 07:00     0.023439   0.016624   1.41x  normal  
 08-07 07:15     0.023127   0.016496   1.40x  normal  
 08-07 07:30     0.022719   0.016364   1.39x  normal  
 08-07 07:45     0.021558   0.016224   1.33x  normal  
 08-07 08:00     0.020121   0.016073   1.25x  normal  
 08-07 08:15     0.018959   0.015914   1.19x  normal  
 08-07 08:30     0.017767   0.015752   1.13x  normal  
 08-07 08:45     0.017825   0.015603   1.14x  normal  
 08-07 09:00     0.017070   0.015453   1.10x  normal  
 08-07 09:15     0.015782   0.015297   1.03x  normal  
 08-07 09:30     0.014373   0.015134   0.95x  normal  
 08-07 09:45     0.012066   0.014951   0.81x  normal  
