
      시각             상단밴드       하단밴드       차이가격         종가
 08-06 18:00       1.0551     1.0426     0.0126     1.0486
 08-06 18:15       1.0547     1.0425     0.0122     1.0467
 08-06 18:30       1.0548     1.0420     0.0128     1.0430
 08-06 18:45       1.0547     1.0421     0.0126     1.0445
 08-06 19:00       1.0549     1.0415     0.0134     1.0422
 08-06 19:15       1.0549     1.0415     0.0135     1.0457
 08-06 19:30       1.0549     1.0414     0.0135     1.0462
 08-06 19:45       1.0549     1.0415     0.0135     1.0468
 08-06 20:00       1.0548     1.0419     0.0129     1.0474
 08-06 20:15       1.0546     1.0424     0.0122     1.0483
 08-06 20:30       1.0546     1.0428     0.0118     1.0498
 08-06 20:45       1.0547     1.0429     0.0117     1.0497
 08-06 21:00       1.0547     1.0430     0.0116     1.0465
 08-06 21:15       1.0547     1.0431     0.0116     1.0482
 08-06 21:30       1.0546     1.0430     0.0116     1.0481
 08-06 21:45       1.0546     1.0428     0.0117     1.0461
 08-06 22:00       1.0545     1.0425     0.0120     1.0450
 08-06 22:15       1.0544     1.0421     0.0122     1.0437
 08-06 22:30       1.0543     1.0419     0.0124     1.0454
 08-06 22:45       1.0541     1.0418     0.0123     1.0452
 08-06 23:00       1.0539     1.0415     0.0124     1.0440
 08-06 23:15       1.0536     1.0412     0.0124     1.0436
 08-06 23:30       1.0533     1.0412     0.0121     1.0467
 08-06 23:45       1.0531     1.0412     0.0119     1.0471
 08-07 00:00       1.0532     1.0412     0.0120     1.0499
 08-07 00:15       1.0533     1.0412     0.0121     1.0497
 08-07 00:30       1.0533     1.0412     0.0121     1.0486
 08-07 00:45       1.0531     1.0413     0.0119     1.0486
 08-07 01:00       1.0521     1.0414     0.0107     1.0431
 08-07 01:15       1.0508     1.0420     0.0088     1.0446
 08-07 01:30       1.0507     1.0421     0.0086     1.0468
 08-07 01:45       1.0507     1.0420     0.0087     1.0455
 08-07 02:00       1.0506     1.0423     0.0083     1.0466
 08-07 02:15       1.0506     1.0423     0.0083     1.0442
 08-07 02:30       1.0507     1.0422     0.0085     1.0415
 08-07 02:45       1.0510     1.0416     0.0094     1.0410
 08-07 03:00       1.0512     1.0410     0.0101     1.0409
 08-07 03:15       1.0513     1.0405     0.0108     1.0410
 08-07 03:30       1.0519     1.0391     0.0129     1.0359
 08-07 03:45       1.0524     1.0378     0.0146     1.0354
 08-07 04:00       1.0527     1.0364     0.0162     1.0339
 08-07 04:15       1.0528     1.0352     0.0177     1.0332
 08-07 04:30       1.0529     1.0343     0.0186     1.0353
 08-07 04:45       1.0529     1.0334     0.0195     1.0344
 08-07 05:00       1.0527     1.0328     0.0199     1.0351
 08-07 05:15       1.0527     1.0319     0.0208     1.0338
 08-07 05:30       1.0527     1.0312     0.0216     1.0336
 08-07 05:45       1.0528     1.0303     0.0225     1.0328
 08-07 06:00       1.0527     1.0298     0.0229     1.0343
 08-07 06:15       1.0524     1.0293     0.0231     1.0351
 08-07 06:30       1.0522     1.0290     0.0233     1.0358
 08-07 06:45       1.0520     1.0286     0.0234     1.0355
 08-07 07:00       1.0515     1.0284     0.0231     1.0362
 08-07 07:15       1.0510     1.0282     0.0227     1.0355
 08-07 07:30       1.0499     1.0283     0.0216     1.0355
 08-07 07:45       1.0487     1.0286     0.0201     1.0368
 08-07 08:00       1.0477     1.0287     0.0190     1.0342
 08-07 08:15       1.0465     1.0288     0.0178     1.0323
 08-07 08:30       1.0462     1.0284     0.0178     1.0315
 08-07 08:45       1.0455     1.0284     0.0171     1.0345
 08-07 09:00       1.0443     1.0285     0.0158     1.0319
 08-07 09:15       1.0432     1.0289     0.0144     1.0338
 08-07 09:30       1.0417     1.0296     0.0121     1.0348
 08-07 09:45       1.0405     1.0302     0.0103     1.0357
 08-07 10:00       1.0398     1.0306     0.0093     1.0366
 08-07 10:15       1.0393     1.0309     0.0085     1.0380
 08-07 10:30       1.0386     1.0313     0.0074     1.0362
 08-07 10:45       1.0378     1.0318     0.0060     1.0367
